seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Stanley,Tran,39,Tibi Road,Forohzez,DE,83991,$7724.18,GREEN,04/07/2019
2,Cora,Morrison,33,Vizna View,Volcezdu,WA,31833,$8542.26,RED,06/27/1926
3,Leila,Carter,34,Kusug Way,Mepeira,KY,56847,$3405.42,RED,11/17/1971
4,Josephine,Carter,45,Muponu Road,Ebeituci,GA,08599,$4122.35,RED,05/02/1991
5,Brandon,Harrison,62,Uliivi Loop,Rosehmuj,ND,75205,$4165.42,RED,05/30/2001
6,Edith,Hicks,21,Wumfek Terrace,Cubocce,MN,07525,$4332.87,WHITE,06/13/1925
7,Theresa,Burke,64,Rudu Terrace,Hahladpob,PA,31855,$1165.62,WHITE,03/21/1995
8,Stella,Simon,57,Hocev Path,Tunazkew,OR,01267,$7787.93,GREEN,04/07/1989
9,Leona,Wilkerson,26,Alulu Avenue,Vapovho,KY,14616,$3216.69,RED,03/11/2048
10,Thomas,Castillo,55,Galla Parkway,Sezwebrik,MS,69475,$1236.70,WHITE,02/11/1981
11,Gilbert,Waters,45,Zuak Street,Tubsufha,NE,68292,$7987.09,YELLOW,07/23/1914
12,Nettie,Freeman,35,Emuas Glen,Vabaclu,TX,35014,$9734.36,BLUE,02/08/1936
13,Harriet,Nguyen,18,Pabo Path,Ispimuk,FL,87993,$1876.96,WHITE,11/29/1984
14,Alberta,Rivera,64,Putnu Ridge,Erjuhal,NM,81847,$7210.64,GREEN,05/13/1949
15,Alta,Vargas,58,Kejso Glen,Ojniti,UT,60796,$1338.38,YELLOW,03/20/2070
16,Herbert,Reeves,58,Laore Pike,Imuirvah,ME,03445,$9993.98,WHITE,07/10/2047
17,Craig,Edwards,44,Demtuk Manor,Gesfolki,KS,57037,$2619.69,WHITE,09/18/1998
18,Ralph,Dixon,63,Geuru Pike,Cicuika,LA,22034,$3461.20,BLUE,07/17/2048
19,Paul,Benson,35,Jihe Extension,Maremokal,WY,05474,$1594.58,RED,07/04/1969
20,George,Hawkins,23,Zatwas River,Iwsefok,NC,70762,$3650.23,RED,05/20/2065
21,Maud,Steele,61,Rutpu Junction,Kujezoj,MO,07690,$2164.22,BLUE,08/03/1975
22,Lina,Buchanan,33,Rimzo Lane,Agrinew,KS,72576,$7980.06,WHITE,05/29/1939
23,John,Allison,41,Tavor Plaza,Rakzuhmom,MT,65414,$6642.81,RED,07/01/2004
24,Marian,Craig,61,Buwi Point,Rahpucfuh,PA,57754,$2419.17,BLUE,11/30/2001
25,Nancy,Wheeler,22,Jeguk Plaza,Kupsuge,OH,01121,$1830.07,BLUE,08/02/2058
26,Jeanette,Cooper,46,Hisik View,Zupfiru,VA,77079,$6843.69,YELLOW,07/22/2030
27,Lena,Griffith,47,Fepha Highway,Tobuduz,WA,94428,$8975.09,RED,07/31/1935
28,Marguerite,Carter,29,Nanfig Glen,Lombatam,OH,10180,$4787.99,BLUE,08/19/2017
29,Essie,Harris,52,Vuer Heights,Nazhekug,AR,66228,$8871.31,RED,03/08/1978
30,Addie,Carr,53,Giar View,Azterco,MO,15571,$6561.87,BLUE,08/31/1967
